Task name,Assignee,Created time,Description,Due,Files & media,Group Kegiatan,Kelengkapan,Month,Parent task,Parent-task,Priority,Status,Sub-task,Sub-tasks,Team,Year
[Zoom-Sosial] Pelatihan Sakernas,,"December 30, 2024 3:47 PM","Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: Pelatihan Sakernas
Time: Jan 2, 2025 19:30 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=86483094796

Meeting ID: 640 000 6401
Passcode: bps6400

","January 2, 2025",,Mengelola Zoom,Lengkap,Januari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2024
[Zoom-Sosial] Pelatihan Sakernas,,"December 30, 2024 3:48 PM","Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: Pelatihan Sakernas
Time: Jan 2, 2025 19:30 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=86483094796

Meeting ID: 640 000 6401
Passcode: bps6400

","January 6, 2025 8:00 AM (GMT+8) → January 10, 2025 8:00 AM (GMT+8)",,Mengelola Zoom,Lengkap,Januari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2024
[Zoom-sektoral] Pelatihan Sektoral,,"December 31, 2024 9:29 AM",,"January 13, 2025 → January 14, 2025",,Mengelola Zoom,Lengkap,Januari,,,,Done,,,Sektoral (https://www.notion.so/Sektoral-16f2318e3b728043936ff61256aeb3c6?pvs=21),2024
[Zoom-ipds] Knowledge sharing office 365,,"December 31, 2024 4:09 PM",,"January 3, 2025",,Mengelola Zoom,Lengkap,Januari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2024
Maintenance SIPADU,,"January 2, 2025 2:01 PM",Bukti dukung tersedia,"January 6, 2025 → January 10, 2025",,Aplikasi Kantor,Lengkap,Januari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Maintenance SIPADU,,"January 3, 2025 8:49 AM",Bukti dukung tersedia,"January 3, 2025",,Aplikasi Kantor,Lengkap,Januari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
"Operator Rakor SNLIK ",,"January 6, 2025 1:56 PM",,"January 7, 2025",,Kegiatan Lainnya,Lengkap,Januari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Mengelola LMS Internalisasi Sektoral,,"January 8, 2025 9:25 AM",Bukti dukung tersedia,"January 8, 2025 → January 10, 2025",,Metadata dan Romantik,Lengkap,Januari,,,,Done,,,Sektoral (https://www.notion.so/Sektoral-16f2318e3b728043936ff61256aeb3c6?pvs=21),2025
[Zoom-Sosial] SNLIK,,"January 9, 2025 3:29 PM","6400_Kaltim is inviting you to a scheduled Zoom meeting.

Topic: SNLIK
Time: Jan 10, 2025 09:30 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006402?pwd=bjFkMFVXSDBvNVFKUWQwbkZsSzRiUT09&omn=84076044451

Meeting ID: 640 000 6402
Passcode: bps64

","January 10, 2025",,Mengelola Zoom,Lengkap,Januari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
[Zoom-RB] Koordinasi dan Konsolidasi Pembangunan Zona Integritas BPS Kabupaten/Kota,,"January 13, 2025 2:39 PM","Kasie IPD BPS Provinsi Kalimantan Timur is inviting you to a scheduled Zoom meeting.

Topic: Koordinasi dan Konsolidasi Pembangunan Zona Integritas BPS Kabupaten/Kota
Time: Jan 16, 2025 08:00 Singapore
Join Zoom Meeting
https://us06web.zoom.us/j/6400006401?pwd=vbbrDhb5Fq9jCKJhNG0xZagT5bvFg7.1&omn=83564892843

Meeting ID: 640 000 6401
Passcode: bps6400

","January 16, 2025",,Mengelola Zoom,Lengkap,Januari,,,,Done,,,IPJKD (https://www.notion.so/IPJKD-16f2318e3b728057b0a0f5ff0e21731c?pvs=21),2025
Mengelola LMS Internalisasi Sektoral,,"January 14, 2025 9:50 AM",Bukti dukung tersedia.,"January 12, 2025 → January 14, 2025",,Metadata dan Romantik,Lengkap,Januari,,,,Done,,,Sektoral (https://www.notion.so/Sektoral-16f2318e3b728043936ff61256aeb3c6?pvs=21),2025
